
10,Microwave Inroduction to Circuits Devices and Antennas,M L Sisodia & V L Gupta,1,1,New Age,2001,BRT,,*,ECED/DL/BOOK/RFC/SIS,RFC-10,,
11,Introduction to Frequency Electronics,Y Kosta & V V Dwivedi & S Kosta,,1,Nirav and Roopal,,BRT,,*,ECED/DL/BOOK/RFC/YPK,RFC-11,,
,,,,12,,,,,,,,,

1,VLSI Design,"A Kavitha, A. Shanthi",,1,New Age,2006,JNS,,*,ECED/DL /BOOK/VLSI/KAV,VLSI-1,,
2,VLSI Technology,Sujata Pandey &Manoj Pandey,,1,DHanpat Rai,2006,JNS,,*,ECED/DL /BOOK/VLSI/MAN,VLSI-2,,
3,VHDL,D L. Perry,3,1,Tata Mc Graw Hill,1998,JNP,*,,ECED/DL /BOOK/VLSI/PERRY,VLSI-3,Dhara,
4,Introduction of System Design Using Integrated Circuits,B.S. Sonde,2,1,Wiely-Eastern,1993,JNP,*,,ECED/DL /BOOK/VLSI/SON,VLSI-4,Dhara,
5,VLSI design,"R. apte, V D aggarwal & A prabhakar",**,1,TMH,1988,**,,*,ECED/DL/BOOK/VLSI/APT,VLSI-5,,
6,VHDL Primer,J Bhaskar,3,1,Pearson and PHI,1999,KKI,*,,ECED/DL/BOOK/VLSI/BHA,VLSI-6,Dhara,
7,Application specific integrated circuits,M john & S Smith,4,1,Pearson,1997,RND,*,,ECED/DL/BOOK/VLSI/JOHN,VLSI-7,,
8,Principles Of Cmos VLSI Design,Kamren Eshraghian,2,1,ADDISON-WESLEY,1998,JNS,*,,ECED/DL/BOOK/VLSI/Kamrn,VLSI-8,,
9,VHDLAnalysis and modeling of Digital Systems,Z. Navabi,2,1,McGraw-Hill,,,*,,ECED/DL/BOOK/VLSI/NAV,VLSI-9,,
10,Digital Integrated Circuits; A Design Perspective ,JM Rabaey,2,1,Pearson,2016,,*,,ECED/DL/BOOk/VLSI/RABAEY,VLSI-10,HARI,
11,Digital systems design using VHDL,"Charles H Roth, Jr",,1,Thomson Learning,2005,KKI,,*,ECED/DL/BOOK/VLSI/ROTH,VLSI-11,Sudhanshu,
12,Principles of digital systems design using VHDL,roth John,,1,Cengage Learning,,RND,,*,ECED/DL/BOOK/VLSI/ROTH,VLSI-12,,
13,,,,,,,,,,,VLSI-13,Dummy no,
14,Advanced CMOS cell design,S. Etienne & D. B. Sonia,**,1,TMH,**,**,,*,ECED/DL/BOOK/VLSI/SIC,VLSI-14,,
15,Introduction to Sytem Design using Integrated Circuits,B.S. Sonde,2,1,Willey Eastern Limited,1980,JNP,,*,ECED/DL/BOOK/VLSI/SON,VLSI-15,,
16,A first course in digital systems design,j p uyemura,,1,Cengage Learning,2000,RND,,*,ECED/DL/BOOK/VLSI/UYE,VLSI-16,,
17,CMOS VLSI Design; Analog and Digital,Weste N H E,4,1,Pearson,2015,,*,,ECED/DL/BOOk/VLSI/WESTE,VLSI-17,Praveen,P17vl016
,,,,16,,,,,,,,,

1,The 8051 Microcontroller,Ayala,3,1,Cengage Learning,2015,,*,,ECED/DL/BOOk/MCEMB/AYALA,MCEMB-1,
2,Designing Embedded hardware,J catsoulis,1,1,Shroff publications,2003,JNS,,*,ECED/DL/BOOK/MCEMB/CT,MCEMB-2,
3,An Embedded software Primer,David simon,7,1,Pearson,1999,KKI,,*,ECED/DL/BOOK/MCEMB/David,MCEMB-3,
4,Digital electonics and Microcomputers,R K Gaur,3,1,Dhanpat Rai,1993,**,,*,ECED/DL/BOOK/MCEMB/GAU,MCEMB-4,
5,Foundation of parallel processing,R K ghosh & R. Moona & P. Gupta,**,1,Narosa Publishing,**,J s Desai,,*,ECED/DL/BOOK/MCEMB/GHO,MCEMB-5,
6,Using the MCS-51 Microcontroller,H W Huang,Reprint 2009,1,Oxford Unversity,2000,JNS,,*,ECED/DL/BOOK/MCEMB/HUA,MCEMB-6,
7,Parallel Port Complete,Jan Axelson,1,1,PRI Penram,1990,ADD,,*,ECED/DL/BOOK/MCEMB/JAN-1,MCEMB-7,
8,Serial Port Complete,Jan Axelson,1,1,PRI Penram,1998,ADD,,*,ECED/DL/BOOK/MCEMB/JAN-2,MCEMB-8,
9,,,,,,,,,,,MCEMB-9,Dummy no
10,The concepts and features of microcontrollers,Raj kamal,1,2,Wheeler Publishing,2000,,,*,ECED/DL/BOOK/MCEMB/KAM,MCEMB-10A,
11,The 8051 microcontroller & embedded systems,Mazidi,2,1,Pearson,2008,,*,,ECED/DL/BOOk/MCEMB/MAZ,MCEMB-11,
12,Embedded microcontrollers,T D Morton,,1,Pearson,2001,JNS,,*,ECED/DL/BOOK/MCEMB/MOR,MCEMB-12,
13,the 8051 microcontroller based embedded systems,M K patel,1,1,Mc. Graw Hill,2014,UDD,,*,ECED/DL/BOOK/MCEMB/PAT,MCEMB-13,
14,Microcomputer Based Design,J. B. Pertman,8th reprint 1984,1,Mc. Graw Hill,1981,**,,*,ECED/DL/BOOK/MCEMB/PEA,MCEMB-14,
15,Exploring Programmable Ics,C S Pepper,1,1,BPB publication,2001,**,,*,ECED/DL/BOOK/MCEMB/PEP,MCEMB-15,
16,Quality engineeering using robust design,Madhav S. Phadke,First Impression 2008,1,Pearson,1989,JNS,,*,ECED/DL/BOOK/MCEMB/PHA,MCEMB-16,
17,,,,,,,,,,,MCEMB-17,dummy no
18,Embedded System Design using 8051 Microcontroller,Satish Shah,1,1,Benison Education,2005,ADD,,*,ECED/DL/BOOK/MCEMB/SSHAH,MCEMB-18,
19,Embedded System Desing  A unified Hardware /software Introduction,Frank Vahid & Tony Givargis,,1,John Willey,2005,KKI,,*,ECED/DL/BOOK/MCEMB/Vah,MCEMB-19,
20,Embedded microcomputer systems real time interfacing,J W Valvano,2,1,Cengage Learning,2007,RND,,*,ECED/DL/BOOK/MCEMB/VAL,MCEMB-20,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,

1,Power Electronics,Dr. P.s.Bimbhra,,1,Khanna publication,1995,JNP,*,,ECED/DL /BOOK/PE/BHIM,PE-1,
2,Power Electronics,Sachin S.Sharma,1,1,University press,2008,PNP,,*,ECED/DL /BOOK/PE/SHA,PE-2,
3,Power Electronics,M D Singh,17,1,Tata Mc Graw hill,1998,PNP,,*,ECED/DL /BOOK/PE/SIN,PE-3,
4,Power Electronics,M D Singh,11,1,Tata Mc Graw hill,2007,PNP,,*,ECED/DL /BOOK/PE/SINGH,PE-4,
5,Power Electronics,Joseph Vithayathil,2,1,Tata Mc Graw hill,2010,PNP,,*,ECED/DL /BOOK/PE/VIT,PE-5,
6,Power electronics,P.S. Bimbhra,1,3,Khanna publication,1991,**,*,,ECED/DL/BOOK/PE/BIH,PE-6A,PE-6B
7,Power Electronics,J.S.Chitode,2,1,Technical Publication,2005,,,*,ECED/DL/BOOK/PE/CHI,PE-7,
8,Power electronics,B.R. Gupta & V. Singhal,3,1,S.K. Kataria,2002,PNP,,*,ECED/DL/BOOK/PE/GUP,PE-8,
9,Power electronics  Principles and applications,J.M. Jacob,1st print 2002,1,Vikas publication,1st print 2002,PNP,,*,ECED/DL/BOOK/PE/JAC,PE-9,
10,thyristor theory and application,clay laster,1,1,BPB publication,1987,**,,*,ECED/DL/BOOK/PE/LAS,PE-10,
11,Power Systems analysis & stability,S S Vabhera,1,1,Khanna publication,1981,Neera Desai,,*,ECED/DL/BOOK/PE/VAD,PE-11,
,,,,13,,,,,,,,

1,,,,,,,,,,,MP-1,Dummy no
2,Digital Systems and microprocessor fundamentals,Sulabha Apte,,1,Jaico publishing,1st 1993,S. Desai,,*,ECED/DL/BOOK/MP/APT,MP-2,
3,8085-A assembly language programming and applications,S P Awate,,1,TMH,1989,Kalpis,,*,ECED/DL/BOOK/MP/AWA,MP-3,
4,The Microcontroller Idea Book,Jan Axelson,,1,PRI Penram,1997,JNS,,*,ECED/DL/BOOK/MP/AXE,MP-4,
5,The 8086  Microprocessor,Kenneth j.Ayala,,1,PRI Penram,1995,JNS,*,,ECED/DL/BOOK/MP/AYA-1/1,MP-5,
6,Tha 8051  Microcontrollar,Kenneth j. Ayala,2,1,PRI Penram,1996,JNS,*,,ECED/DL/BOOK/MP/AYA-1/2,MP-6,
7,Advanced microprocessors and peripherals,K M Bhurchandi & A K ray,3,1,TMH,2013,JNS,,*,ECED/DL/BOOK/MP/BHU,MP-7,
8,The Intel Microprocessors,B B Brey,8,1,Pearson,2009,**,,*,ECED/DL/BOOK/MP/BRE,MP-8,
9,the intel 8086/8088 microprocessor architecture,B.S. Chhabra,3,1,Dhanpat Rai,3rd 2001,Verun,,*,ECED/DL/BOOK/MP/CHH,MP-9,
10,8085 Microprocessor and Its Applications,B S Chhabra,,1,Dhanpat Rai,**,JNS,,*,ECED/DL/BOOK/MP/CHHA,MP-10,
11,"Microprocessor Architecture, programming and applications with the 8085",Ramesh S. Gaonkar,4,1,Penram International,2000,ASM,*,,ECED/DL/BOOK/MP/Gaon,MP-11,
12,"Microprocessor Architecture,Programming,and Applications with 8085",R.Gaonkar,5,1,Penram International,2000,KKI,*,,ECED/DL/BOOK/MP/GAON5,MP-12,PKS
13,Microprocessors Principles and Applications,Gilmore,2,1,TMH,1996,**,,*,ECED/DL/BOOK/MP/GIL,MP-13,
14,Advanced Microprocessors,"A.P.Godse, D.A.Godse",2,2,Technical Publication,2005,KKI,,*,"ECED/DL/BOOK/MP/GODSE-1,2/2",MP-14A,MP-14B
15,Introduction to microproecessors,P. M. Aditya,3,1,TMH,1989,Deepa,,*,ECED/DL/BOOK/MP/MAJ,MP-15,
16,Advanced Microprocessors and peripherals,A K ray & K M bhurchandi,12th print 2004,1,TMH,2000,**,,*,ECED/DL/BOOK/MP/RAY,MP-16,
17,Microprocessors from assembly language to V using the PIC18Fxx2,R B Reese,1,1,Vinchi Engg press,2005,JNS,,*,ECED/DL/BOOK/MP/REE,MP-17,
18,Modern Processor Design,P. S. John & H. L. Mikko,**,1,TMH,2005,**,,*,ECED/DL/BOOK/MP/SHE,MP-18,
,,,,18,,,,,,,,

1,Control Theory,U.A.Bakshi V.U.Bakshi,1,1,TEchnical Publication,2010,JNS,,*,ECED/DL /BOOK/MISC/BAKS,MISC-1,
2,Calculus Scanner,,4,1,Atul Prakashan,2014-2015,UDD,,*,ECED/DL /BOOK/MISC/CS,MISC-2,
3,Develop Yaur Contributor Personality,,3,1,I-become,2013,UDD,,*,ECED/DL /BOOK/MISC/DCP,MISC-3,
4,Elements Of Electrical Engineering  and Electronics,D. M. Patel,1,1,Atul Prakashan,2012-2013,UDD,,*,ECED/DL /BOOK/MISC/DMH,MISC-4,
5,M C S E : TCP / IP Study Guide,T. Lammle M. Lammle & J. Chellis,1,1,BPB publication,1997,JNS,,*,ECED/DL /BOOK/MISC/GUIDE,MISC-5,
6,USB Complete,Jan Axelson,2,1,PRI Penram,2001,Nila Desai,,*,ECED/DL /BOOK/MISC/JAN,MISC-6,
7,Linear Algebra And Vector Calculus,Dr. K. R. Kachot,7,1,IVP Mahajan,2015,,,*,ECED/DL /BOOK/MISC/KACHOT,MISC-7,
8,Elements Artificial Neural Networks,"Mehrotha, Mohan, Ranka",,1,PRI Penram,1997,JNS,,*,ECED/DL /BOOK/MISC/MEH,MISC-8,
9,Vector Calculus And Linear Algebra,"Dr. Shailesh S, Patel",Revised First Ed,1,Atul Prakashan,2012-2013,UDD,,*,ECED/DL /BOOK/MISC/PATEL,MISC-9,
10,Basics Of Environmental Studies,B. R. Shah Snehal Popli,5,1,IVP Mahajan,2013,UDD,,*,ECED/DL /BOOK/MISC/S&P,MISC-10,
11,Solid-State Pressure Sensors Handbook,,Vol 16,1,SenSym,,JNS,,*,ECED/DL /BOOK/MISC/SEN,MISC-11,
12,Engineering Graphics,Prof. P.J. Shah,1,1,S.Chand,2015,UDD,,*,ECED/DL /BOOK/MISC/SHAH,MISC-12,
13,Calculus,"Dr. Shailesh S, Patel",1,1,Atul Prakashan,2014-2015,UDD,,*,ECED/DL /BOOK/MISC/SSP,MISC-13,
14,Circuits and Networks: Analysis and Sysnthesis,"A Sudhakar, S S Palli",3,1,TMH,2007,,,*,ECED/DL /BOOK/MISC/SUD,MISC-14,
15,Elements Of Electrical Engineering,J. N. Swamy N. V. Sionh,7,1,IVP Mahajan,2013,UDD,,*,ECED/DL /BOOK/MISC/SWAMY,MISC-15,
16,Engineering Physics,G Vijayakumari,8,1,Vikas publication,2015,UDD,,*,ECED/DL /BOOK/MISC/VIJ,MISC-16,
17,Elements Of Electrical Engineering,J. N. Swamy N. V. Sionh,4,1,IVP Mahajan,2010,UDD,,*,ECED/DL /BOOK/EDC/SWAMY,MISC-17,
18,,,,,,,,,,,MISC-18,Dummy No
19,Network Throry and Filter Design,V K Aatre,2,1,Wiley Eastern,1980,**,,*,ECED/DL/BOOK/MISC/AAT,MISC-19,
20,Elements Electrical Engineering  and Electronics,U.A Patel R.P.Ajwalia,3,2,Atul Prakashan,2001,JNS,,*,"ECED/DL/BOOK/MISC/Ajwa-1,2/2",MISC-20A,MISC-20B
21,industrial instrumentation,U Rathod,,1,katson books,,,,*,ECED/DL/BOOK/MISC/RATH,MISC-21,
22,Power Electronics and Lts Applications,Alok Jain,,1,Penram International,2002,JNS,,*,ECED/DL/BOOK/MISC/ALOK,MISC-22,
23,Question Bank in Electronics and Communication Engineering,J.B. Gupta,1,1,S.K. Kataria,2013,,,*,ECED/DL/BOOK/MCEMB/JBG,MISC-23,No to be allotted
24,Circuits and Networks,UA Bakshi & A V Bakshi,1,1,Technical Publication,2009,**,,*,ECED/DL/BOOK/MISC/BAK,MISC-24,
25,A Text Book Of Electrical Technology,B L THREJA,21,1,S.C &COMPANY,1994,JNS,,*,ECED/DL/BOOK/MISC/CHAND,MISC-25,
26,Networks and Transmission Lines,C Y Kendra,1,1,C Y Kendra,,BRT,,*,ECED/DL/BOOK/MISC/CHINMAYA,MISC-26,
27,Control system engingeering,S K Bhattacharya,1,1,Pearson Education,2005,ASM,,*,ECED/DL/BOOK/MISC/CTRL,MISC-27,
28,Awakening Indians To India,CHINMYA,,1,Chinmya Yuva Kendra,2003,,,,ECED/DL/BOOK/MISC/DMP,MISC-28,
29,ECE for GATE,Kishore Kashyap,1,1,McGraw-Hill,2013,,,*,ECED/DL/BOOK/MISC/GATE-1,MISC-29,
30,Electronics Instruments and Systems,R.G.Gupta,,2,Tata Mc Graw hill,2001,JNS,,*,"ECED/DL/BOOK/MISC/Gupta-1,2/2",MISC-30A,MISC-30B
31,Computer Organization,"Hamacher, Bracesic & Zaky",5,1,Mc. Graw Hill,2002,KKI,*,,ECED/DL/BOOK/MISC/HAM,MISC-31,
32,Basic Electrical  and Electronics Engineering,"K Murugresh kumar,V Jagannathan",1,1,Vikas Publication,2001,JNS,,*,ECED/DL/BOOK/MISC/JAGA,MISC-32,
33,Fuzzy Sets and Fuzzy Logic theory and application,G J Klir & Bo Yuan,7th print,1,PHI,2002,RND,,*,ECED/DL/BOOK/MISC/KLIR,MISC-33,
34,Computer system Architecture,M Mano,2,1,PHI,1991,**,,*,ECED/DL/BOOK/MISC/MANO,MISC-34,
35,Network Analysis,G.K. Mithal,3,1,Khanna publication,1979,ASM,*,,ECED/DL/BOOK/MISC/MITH,MISC-35,
36,Basic Electrical Electronics and Computer Engineering,K.A.Muraleedharan,2,1,Vikas publication,2000,JNS,,*,ECED/DL/BOOK/MISC/MURA,MISC-36,
37,Control Systems Engineering,"I J Nagrath, M Gopal",5,1,New Age International,2007,,,*,ECED/DL/BOOK/MISC/NAG,MISC-37,
38,Operations  Research: An Introduction,Hamdy Taha,7,1,PHI,2004,,,*,ECED/DL/BOOK/MISC/OR,MISC-38,
39,Electric circuit analysis,S.R. PARANJOTHI,4,1,New Age pub,2011,,,*,ECED/DL/BOOK/MISC/PAR,MISC-39,
40,quick read series elements of mechanical engineering,-,,1,tech max,,-,,*,ECED/DL/BOOK/MISC/EME,MISC-40,
41,A Text Book Of Power Electronics,S.N.Singh,1,1,DHanpat Rai,2000,JNS,,*,ECED/DL/BOOK/MISC/SING,MISC-41,
42,Computer Organization and Architecture,W. Stallings,4,1,PHI,1996,**,,*,ECED/DL/BOOK/MISC/STA,MISC-42,
43,Structured computer Organization,A S Tanenbaum,3,1,PHI,1990,**,,*,ECED/DL/BOOK/MISC/TAN,MISC-43,
44,Network analysis,Vanvalkenburg,3,1,PHI,1974,KKI,,*,ECED/DL/BOOK/MISC/Van,MISC-44,
45,Science and Spirituality,R Yogi & B K J chandar,,1,BKWSU,**,**,,*,ECED/DL/BOOK/MISC/YOGI,MISC-45,
46,quick read series elements of civil engineering,-,,1,tech max,-,-,-,-,ECED/DL/BOOK/MISC/ECE,MISC-46,
47,elements of mechanical engineering,ashish soni,,1,Atul Prakashan,2013,UDD,-,-,ECED/DL/BOOK/MISC/SONI,MISC-47,



1,Year Book 2000,,,1,CSR,2000,ADD,,*,ECED/DL/BOOK/CSR YEAR BOOK,CSR-1

1,Digital lab Primer,K.A.Krishnamurthy,1,1,Pearson,2003,JNS,,*,ECED/DL /BOOK/LAB/KRIS,LAB-1,
2,Everyday electronics Data book,M T Ba,1,1,BPB publication,1990,**,,*,ECED/DL/BOOK/LAB/BA,LAB-2,
3,Oscilloscope Guide,A J banks,1,1,BPB publication,2001,**,,*,ECED/DL/BOOK/LAB/BAN,LAB-3,
4,Commsim user manual,,,1,EWB,2004,,,*,ECED/DL/BOOK/LAB/COMMSIM7-1,LAB-4,
5,Commsim user manual,,,1,EWB,2004,,,*,"ECED/DL/BOOK/LAB/COMMSIM7-Vol1,2",LAB-5,
6,Engineering circuit analysis with psipce and probe,R. Conant,International Ed 1993,1,Mc. Graw Hill,1993,Nila Desai,,*,ECED/DL/BOOK/LAB/CON,LAB-6,
7,TMS320F/C24X DSP Controllers Reference Guide,,,1,texas Instruments,1999,ADD,,*,ECED/DL/BOOK/LAB/DSP,LAB-7,
8,Practical Radio-Frequency Handbook,Ian Hickman,3,2,Elsevier,2002,*,,*,"ECED/DL/BOOK/LAB/HIC-1,2/2",LAB-8A,LAB-8B
9,Linear IC equivalents with pin connections,A M Hoebeek,1,1,BPB publication,1988,**,,*,ECED/DL/BOOK/LAB/HOE,LAB-10,
10,Digital electonics practice using IC,R. P. Jain & M.S. Anand,Reprint 1989,1,TMH,1983,Pritish,*,,ECED/DL/BOOK/LAB/JAIN,LAB-11,
11,IC OP-amp Cook Book,W G Jung,3,1,BPB publication,1996,**,,*,ECED/DL/BOOK/LAB/JUN,LAB-12,
12,IC Design projects: Design and build your Own IC Devices,S . Kamichik,1,1,BPB publication,2001,**,,*,ECED/DL/BOOK/LAB/KAM,LAB-13,
13,CMOS Cookbook,Dan Lancaster,2,1,BPB publication,1st 1997,**,,*,ECED/DL/BOOK/LAB/LAN/415,LAB-14,
14,Modern IC data & substitution manual,M Lotia,1,1,BPB publication,2002,**,,*,ECED/DL/BOOK/LAB/LOT,LAB-15,
15,Modern Remote Control Microprocessor IC data & substitution manual,M Lotia,1,1,BPB publication,2002,**,,*,ECED/DL/BOOK/LAB/LOTIA,LAB-16,
16,Microwave filer and coupling structures,"G.L. Matthaei, Schiffman, Cystal, Robinson",,1,Standford research inst,1963,,,*,ECED/DL/BOOK/LAB/MAT,LAB-17,
17,Lab Manual for VTU Trainer,,,1,Mechatronics test Equipment Pvt ltd.,2003,KKI,,*,ECED/DL/BOOK/LAB/MECHA,LAB-18,
18,Software metrics - A guides,K.H. Moller & D. J. Paulish,1,1,Chapman & Hall,1993,**,,*,ECED/DL/BOOK/LAB/MOL,LAB-19,
19,Microprocessor Data hand book,**,2,1,BPB publication,1992,**,,*,ECED/DL/BOOK/LAB/MP,LAB-20,
20,Spice for circuits and electronics using pspice,M H rashid,2,1,PHI,2001,JNS,,*,ECED/DL/BOOK/LAB/RAS,LAB-21,
21,Electromagnetics Explained -A Handbook for Wireless / RF,S. Ron,**,1,Elsevier,first 2006,**,,*,ECED/DL/BOOK/LAB/SCH,LAB-22,
22,Basic Mrcrowave techniques and Laboratory Manual,M L Sisodia & G S raghuwanshi,1,1,New Age,2007,BRT,,*,ECED/DL/BOOK/LAB/SIS,LAB-23,
23,Electronics Projects Hand book,A B Tiwana,1,1,BPB publication,1995,**,,*,ECED/DL/BOOK/LAB/TIW,LAB-24,
24,Electonics IC circuits with practical applications,J. A. Whitson,1,1,BPB publication,,**,,*,ECED/DL/BOOK/LAB/WHI,LAB-25,
25,IRS-1D Handbook,National Remote Sensing Laboratory,,1,,,KKI,,*,ECED/DL/MAN/LAB/IRS,LAB-26,

1,Discrete Time Signal Processing,"A. V. Oppenhei, R. W. Schafer",3 Printing,1,PHI,1989,,*,,ECED/DL/BOOk/DSP/ALAN,DSP-1,
2,Digital Signal Processing,P R Babu,6,1,Pearson,2014,,*,,ECED/DL/BOOk/DSP/BABU,DSP-2,Akshaybhai
3,Digital image processing ,Gonzalez,2,1,MGH,2010,,*,,ECED/DL/BOOk/DSP/GONZALEZ,DSP-3,
4,Multirate Signal Processing for communication systems,F J Harris,First Impression 2007,1,Pearson,2004,**,,*,ECED/DL/BOOK/DSP/HAR,DSP-4,
5,Adaptive filter theory,Simon Haykin,4,1,Pearson,2002,RND,,*,ECED/DL/BOOK/DSP/HAY,DSP-5,
